x, oracle, model
-0.737059109605743, -0.239784170455799, -0.241849830653801
-0.737003296956626, -0.23970251990368, -0.241772707518562
-0.736838856145237, -0.239462062079147, -0.241545580344141
-0.735821943049066, -0.237978673565643, -0.240144347839669
-0.733805736817914, -0.235055979355967, -0.237383103529045
-0.733719956905041, -0.234932173447629, -0.237266123993338
-0.73367349141657, -0.234865128337442, -0.237202775157824
-0.733296465419249, -0.234321594977702, -0.23668919600555
-0.73301012586584, -0.233909366504593, -0.236299671871428
-0.732959676088859, -0.233836787334872, -0.236231088925042
-0.732361459127163, -0.232977326786937, -0.235418922336477
-0.730759458599187, -0.230686241924746, -0.233253652233743
-0.730672568745132, -0.230562414343795, -0.233136613758507
-0.730279061765422, -0.230002185876392, -0.232607086825292
-0.729839912692489, -0.229378064322047, -0.232017140760618
-0.729665969424568, -0.229131171704665, -0.231783759366563
-0.729261518195698, -0.228557793543534, -0.231241741625543
-0.72788557423282, -0.226614419075865, -0.229404471116052
-0.727620904469841, -0.226241886006219, -0.229052244037805
-0.727456126222751, -0.226010163268561, -0.228833146515551
-0.727166589139831, -0.225603384397717, -0.228448520389623
-0.727153655812958, -0.225585225549244, -0.228431350147152
-0.726298244584847, -0.224386389106747, -0.227297722675699
-0.725722722483848, -0.223582236744767, -0.226537246155748
-0.725710396625657, -0.223565035680624, -0.226520978757084
-0.72542511887883, -0.223167172727096, -0.226144704866369
-0.725152020884595, -0.222786744690286, -0.225784907690314
-0.72498191186373, -0.222550002828181, -0.225560998477101
-0.724406800953793, -0.221750875785338, -0.224805154007462
-0.72403503207784, -0.221235329142434, -0.224317502296269
-0.723799563904821, -0.220909215292521, -0.224009022118107
-0.72365489442286, -0.220709015082178, -0.223819642715436
-0.723300814754539, -0.220219540707312, -0.223356610096068
-0.722292691384558, -0.218829943452762, -0.222041968308443
-0.720555223041228, -0.216448939826439, -0.219789006768395
-0.71852190232088, -0.213684801829207, -0.217172880269617
-0.718194385218768, -0.213241810116272, -0.216753544754803
-0.717158192713109, -0.211844367617613, -0.215430607926137
-0.716328486616442, -0.210729868994232, -0.21437539852301
-0.716132555481413, -0.210467264736832, -0.214126747213497
-0.714796734281061, -0.208682766585873, -0.212436890077983
-0.712723103122609, -0.205932929987605, -0.209832285003296
-0.711678860609269, -0.20455747402213, -0.208529191665365
-0.710608430904571, -0.203153977652901, -0.207199335988861
-0.710379138550496, -0.202854188479859, -0.206915250516391
-0.709614169252137, -0.20185618725672, -0.205969460343384
-0.70937806315901, -0.201548827243072, -0.205678159278337
-0.708979260639475, -0.201030388919463, -0.205186786017842
-0.7076510398043, -0.199310212198788, -0.203556208775124
-0.706824446153624, -0.198244724477579, -0.202546061881091
-0.706246418929671, -0.19750193050836, -0.201841776057955
-0.705666420120029, -0.196758493663487, -0.201136820843541
-0.703981911815974, -0.194610021514744, -0.199099216994313
-0.703433899755467, -0.193914499388948, -0.198439476458812
-0.70235995520772, -0.192556347046234, -0.197151038410134
-0.701420532711449, -0.191373592929912, -0.196028824693788
-0.701170942273181, -0.191060179335193, -0.195731426597849
-0.700031208993072, -0.189633404389625, -0.194377416482989
-0.699105935382132, -0.188480401863047, -0.193283042786517
-0.697910546668798, -0.186997818353012, -0.191875615619736
-0.69771028284634, -0.186750212712136, -0.191640536207452
-0.69742962692339, -0.186403582811295, -0.191311429722612
-0.697281328354846, -0.186220598981921, -0.191137690552529
-0.697110094622957, -0.186009466506673, -0.190937219822784
-0.696833625455591, -0.185668918878168, -0.190613857743408
-0.696387636290726, -0.185120447717593, -0.190093035210987
-0.695223006938457, -0.183693358117641, -0.188737712832441
-0.695046141014523, -0.1834772849084, -0.188532483843836
-0.693761995381927, -0.181913610253021, -0.187047112653036
-0.692581708060831, -0.180484350029693, -0.18568915478638
-0.691553834017281, -0.179245838310566, -0.184512217745135
-0.691505241446082, -0.179187430153122, -0.184456708546961
-0.690986967751405, -0.178565264430369, -0.183865395064725
-0.690397156937379, -0.177858995056913, -0.183194087102044
-0.690014797827483, -0.177402146420569, -0.182759818173874
-0.68901120554093, -0.176206802730574, -0.181623423077391
-0.688733903742486, -0.175877478146553, -0.181310305605891
-0.687783324102206, -0.174751714966208, -0.180239834173013
-0.687310442265388, -0.174193498355124, -0.179708970348062
-0.686972762215236, -0.173795617852976, -0.179330560026407
